temperature,date,dia_da_semana,mes_venda,temperatura_celsius,total_de_vendas
63F,"sexta-feira, abril 30, 2004",sex,abr,23,36257
64F,"sábado, maio 01, 2004",sab,mai,23,36255
63F,"domingo, maio 02, 2004",dom,mai,23,36255
62F,"segunda-feira, maio 03, 2004",seg,mai,22,35646
63F,"terça-feira, maio 04, 2004",ter,mai,22,35646
65F,"quarta-feira, maio 05, 2004",qua,mai,24,36861
61F,"quinta-feira, maio 06, 2004",qui,mai,22,35642
61F,"sexta-feira, maio 07, 2004",sex,mai,22,35642
62F,"sábado, maio 08, 2004",sab,mai,22,35641
64F,"domingo, maio 09, 2004",dom,mai,23,36250
66F,"segunda-feira, maio 10, 2004",seg,mai,25,37466
62F,"terça-feira, maio 11, 2004",ter,mai,22,35639
62F,"quarta-feira, maio 12, 2004",qua,mai,22,35639
61F,"quinta-feira, maio 13, 2004",qui,mai,22,35637
65F,"sexta-feira, maio 14, 2004",sex,mai,24,36854
64F,"sábado, maio 15, 2004",sab,mai,23,36242
61F,"domingo, maio 16, 2004",dom,mai,22,35633
63F,"segunda-feira, maio 17, 2004",seg,mai,23,36241
64F,"terça-feira, maio 18, 2004",ter,mai,23,36241
65F,"quarta-feira, maio 19, 2004",qua,mai,24,36850
67F,"quinta-feira, maio 20, 2004",qui,mai,25,37455
63F,"sexta-feira, maio 21, 2004",sex,mai,23,36237
64F,"sábado, maio 22, 2004",sab,mai,23,36236
65F,"domingo, maio 23, 2004",dom,mai,24,36844
64F,"segunda-feira, maio 24, 2004",seg,mai,23,36235
66F,"terça-feira, maio 25, 2004",ter,mai,24,36843
62F,"quarta-feira, maio 26, 2004",qua,mai,22,35623
66F,"quinta-feira, maio 27, 2004",qui,mai,24,36841
66F,"sexta-feira, maio 28, 2004",sex,mai,24,36841
62F,"sábado, maio 29, 2004",sab,mai,22,35621
66F,"domingo, maio 30, 2004",dom,mai,24,36838
63F,"segunda-feira, maio 31, 2004",seg,mai,23,36227
60F,"terça-feira, junho 01, 2004",ter,jun,21,35008
63F,"quarta-feira, junho 02, 2004",qua,jun,22,35617
62F,"quinta-feira, junho 03, 2004",qui,jun,22,35616
63F,"sexta-feira, junho 04, 2004",sex,jun,23,36224
62F,"sábado, junho 05, 2004",sab,jun,22,35615
66F,"domingo, junho 06, 2004",dom,jun,24,36829
65F,"segunda-feira, junho 07, 2004",seg,jun,24,36828
63F,"terça-feira, junho 08, 2004",ter,jun,23,36217
65F,"quarta-feira, junho 09, 2004",qua,jun,24,36823
66F,"quinta-feira, junho 10, 2004",qui,jun,24,36823
61F,"sexta-feira, junho 11, 2004",sex,jun,22,35605
64F,"sábado, junho 12, 2004",sab,jun,23,36213
66F,"domingo, junho 13, 2004",dom,jun,25,37430
66F,"segunda-feira, junho 14, 2004",seg,jun,25,37427
66F,"terça-feira, junho 15, 2004",ter,jun,24,36818
62F,"quarta-feira, junho 16, 2004",qua,jun,22,35599
62F,"quinta-feira, junho 17, 2004",qui,jun,22,35599
63F,"sexta-feira, junho 18, 2004",sex,jun,23,36208
64F,"sábado, junho 19, 2004",sab,jun,23,36206
63F,"domingo, junho 20, 2004",dom,jun,23,36206
63F,"segunda-feira, junho 21, 2004",seg,jun,22,35597
67F,"terça-feira, junho 22, 2004",ter,jun,25,37423
62F,"quarta-feira, junho 23, 2004",qua,jun,22,35596
65F,"quinta-feira, junho 24, 2004",qui,jun,24,36812
61F,"sexta-feira, junho 25, 2004",sex,jun,22,35592
62F,"sábado, junho 26, 2004",sab,jun,22,35592
61F,"domingo, junho 27, 2004",dom,jun,22,35589
64F,"segunda-feira, junho 28, 2004",seg,jun,23,36197
67F,"terça-feira, junho 29, 2004",ter,jun,25,37415
63F,"quarta-feira, junho 30, 2004",qua,jun,23,36196
64F,"quinta-feira, julho 01, 2004",qui,jul,23,36196
65F,"sexta-feira, julho 02, 2004",sex,jul,24,36804
65F,"sábado, julho 03, 2004",sab,jul,24,36803
62F,"domingo, julho 04, 2004",dom,jul,22,35582
62F,"segunda-feira, julho 05, 2004",seg,jul,22,35582
67F,"terça-feira, julho 06, 2004",ter,jul,25,37409
62F,"quarta-feira, julho 07, 2004",qua,jul,22,35581
67F,"quinta-feira, julho 08, 2004",qui,jul,25,37408
63F,"sexta-feira, julho 09, 2004",sex,jul,23,36189
65F,"sábado, julho 10, 2004",sab,jul,24,36797
64F,"domingo, julho 11, 2004",dom,jul,24,36797
64F,"segunda-feira, julho 12, 2004",seg,jul,23,36187
66F,"terça-feira, julho 13, 2004",ter,jul,24,36795
63F,"quarta-feira, julho 14, 2004",qua,jul,23,36185
62F,"quinta-feira, julho 15, 2004",qui,jul,22,35575
60F,"sexta-feira, julho 16, 2004",sex,jul,21,34965
60F,"sábado, julho 17, 2004",sab,jul,21,34965
65F,"domingo, julho 18, 2004",dom,jul,24,36791
64F,"segunda-feira, julho 19, 2004",seg,jul,23,36181
62F,"terça-feira, julho 20, 2004",ter,jul,22,35571
62F,"quarta-feira, julho 21, 2004",qua,jul,22,35570
65F,"quinta-feira, julho 22, 2004",qui,jul,24,36787
65F,"sexta-feira, julho 23, 2004",sex,jul,24,36784
66F,"sábado, julho 24, 2004",sab,jul,25,37385
65F,"domingo, julho 25, 2004",dom,jul,24,36775
67F,"segunda-feira, julho 26, 2004",seg,jul,25,37384
66F,"terça-feira, julho 27, 2004",ter,jul,25,37382
63F,"quarta-feira, julho 28, 2004",qua,jul,23,36163
61F,"quinta-feira, julho 29, 2004",qui,jul,21,34944
65F,"sexta-feira, julho 30, 2004",sex,jul,24,36771
66F,"sábado, julho 31, 2004",sab,jul,24,36771
61F,"domingo, agosto 01, 2004",dom,ago,22,35553
63F,"segunda-feira, agosto 02, 2004",seg,ago,22,35553
63F,"terça-feira, agosto 03, 2004",ter,ago,23,36162
66F,"quarta-feira, agosto 04, 2004",qua,ago,24,36770
64F,"quinta-feira, agosto 05, 2004",qui,ago,23,36160
64F,"sexta-feira, agosto 06, 2004",sex,ago,23,36160
61F,"sábado, agosto 07, 2004",sab,ago,21,34942
67F,"domingo, agosto 08, 2004",dom,ago,25,37377
67F,"segunda-feira, agosto 09, 2004",seg,ago,25,37376
62F,"terça-feira, agosto 10, 2004",ter,ago,22,35548
65F,"quarta-feira, agosto 11, 2004",qua,ago,24,36764
64F,"quinta-feira, agosto 12, 2004",qui,ago,23,36154
64F,"sexta-feira, agosto 13, 2004",sex,ago,23,36153
67F,"sábado, agosto 14, 2004",sab,ago,25,37368
62F,"domingo, agosto 15, 2004",dom,ago,22,35541
64F,"segunda-feira, agosto 16, 2004",seg,ago,23,36150
62F,"terça-feira, agosto 17, 2004",ter,ago,22,35541
65F,"quarta-feira, agosto 18, 2004",qua,ago,24,36755
65F,"quinta-feira, agosto 19, 2004",qui,ago,24,36755
61F,"sexta-feira, agosto 20, 2004",sex,ago,22,35536
62F,"sábado, agosto 21, 2004",sab,ago,22,35536
65F,"domingo, agosto 22, 2004",dom,ago,24,36753
61F,"segunda-feira, agosto 23, 2004",seg,ago,21,34926
65F,"terça-feira, agosto 24, 2004",ter,ago,24,36753
63F,"quarta-feira, agosto 25, 2004",qua,ago,23,36143
62F,"quinta-feira, agosto 26, 2004",qui,ago,22,35534
64F,"sexta-feira, agosto 27, 2004",sex,ago,23,36141
60F,"sábado, agosto 28, 2004",sab,ago,21,34922
65F,"domingo, agosto 29, 2004",dom,ago,24,36749
62F,"segunda-feira, agosto 30, 2004",seg,ago,22,35531
63F,"terça-feira, agosto 31, 2004",ter,ago,23,36140
61F,"quarta-feira, setembro 01, 2004",qua,set,22,35530
65F,"quinta-feira, setembro 02, 2004",qui,set,24,36746
62F,"sexta-feira, setembro 03, 2004",sex,set,22,35528
63F,"sábado, setembro 04, 2004",sab,set,23,36137
62F,"domingo, setembro 05, 2004",dom,set,22,35527
63F,"segunda-feira, setembro 06, 2004",seg,set,23,36135
65F,"terça-feira, setembro 07, 2004",ter,set,24,36742
61F,"quarta-feira, setembro 08, 2004",qua,set,22,35522
61F,"quinta-feira, setembro 09, 2004",qui,set,22,35522
66F,"sexta-feira, setembro 10, 2004",sex,set,24,36740
66F,"sábado, setembro 11, 2004",sab,set,24,36739
65F,"domingo, setembro 12, 2004",dom,set,24,36737
63F,"segunda-feira, setembro 13, 2004",seg,set,23,36127
64F,"terça-feira, setembro 14, 2004",ter,set,24,36733
66F,"quarta-feira, setembro 15, 2004",qua,set,25,37342
64F,"quinta-feira, setembro 16, 2004",qui,set,24,36732
62F,"sexta-feira, setembro 17, 2004",sex,set,22,35511
66F,"sábado, setembro 18, 2004",sab,set,25,37336
68F,"domingo, setembro 19, 2004",dom,set,25,37336
61F,"segunda-feira, setembro 20, 2004",seg,set,22,35507
68F,"terça-feira, setembro 21, 2004",ter,set,25,37334
63F,"quarta-feira, setembro 22, 2004",qua,set,23,36112
64F,"quinta-feira, setembro 23, 2004",qui,set,23,36112
65F,"sexta-feira, setembro 24, 2004",sex,set,24,36720
60F,"sábado, setembro 25, 2004",sab,set,21,34893
61F,"domingo, setembro 26, 2004",dom,set,22,35501
65F,"segunda-feira, setembro 27, 2004",seg,set,24,36718
65F,"terça-feira, setembro 28, 2004",ter,set,24,36718
62F,"quarta-feira, setembro 29, 2004",qua,set,22,35499
62F,"quinta-feira, setembro 30, 2004",qui,set,22,35498
62F,"sexta-feira, outubro 01, 2004",sex,out,22,35497
65F,"sábado, outubro 02, 2004",sab,out,24,36713
64F,"domingo, outubro 03, 2004",dom,out,23,36104
60F,"segunda-feira, outubro 04, 2004",seg,out,21,34886
64F,"terça-feira, outubro 05, 2004",ter,out,23,36103
64F,"quarta-feira, outubro 06, 2004",qua,out,24,36712
61F,"quinta-feira, outubro 07, 2004",qui,out,21,34881
64F,"sexta-feira, outubro 08, 2004",sex,out,23,36097
62F,"sábado, outubro 09, 2004",sab,out,22,35487
64F,"domingo, outubro 10, 2004",dom,out,23,36095
67F,"segunda-feira, outubro 11, 2004",seg,out,25,37312
67F,"terça-feira, outubro 12, 2004",ter,out,25,37309
63F,"quarta-feira, outubro 13, 2004",qua,out,23,36090
66F,"quinta-feira, outubro 14, 2004",qui,out,24,36697
62F,"sexta-feira, outubro 15, 2004",sex,out,22,35478
66F,"sábado, outubro 16, 2004",sab,out,25,37303
62F,"domingo, outubro 17, 2004",dom,out,22,35473
67F,"segunda-feira, outubro 18, 2004",seg,out,25,37298
60F,"terça-feira, outubro 19, 2004",ter,out,21,34861
66F,"quarta-feira, outubro 20, 2004",qua,out,25,37296
66F,"quinta-feira, outubro 21, 2004",qui,out,24,36686
63F,"sexta-feira, outubro 22, 2004",sex,out,23,36075
66F,"sábado, outubro 23, 2004",sab,out,24,36683
63F,"domingo, outubro 24, 2004",dom,out,23,36074
61F,"segunda-feira, outubro 25, 2004",seg,out,21,34855
61F,"terça-feira, outubro 26, 2004",ter,out,22,35464
63F,"quarta-feira, outubro 27, 2004",qua,out,23,36072
62F,"quinta-feira, outubro 28, 2004",qui,out,22,35463
64F,"sexta-feira, outubro 29, 2004",sex,out,23,36071
65F,"sábado, outubro 30, 2004",sab,out,24,36679
66F,"domingo, outubro 31, 2004",dom,out,25,37288
66F,"segunda-feira, novembro 01, 2004",seg,nov,24,36678
64F,"terça-feira, novembro 02, 2004",ter,nov,23,36068
63F,"quarta-feira, novembro 03, 2004",qua,nov,23,36068
65F,"quinta-feira, novembro 04, 2004",qui,nov,24,36676
64F,"sexta-feira, novembro 05, 2004",sex,nov,23,36065
62F,"sábado, novembro 06, 2004",sab,nov,22,35451
66F,"domingo, novembro 07, 2004",dom,nov,25,37277
65F,"segunda-feira, novembro 08, 2004",seg,nov,24,36666
65F,"terça-feira, novembro 09, 2004",ter,nov,24,36664
67F,"quarta-feira, novembro 10, 2004",qua,nov,25,37272
65F,"quinta-feira, novembro 11, 2004",qui,nov,24,36661
62F,"sexta-feira, novembro 12, 2004",sex,nov,22,35442
62F,"sábado, novembro 13, 2004",sab,nov,22,35441
66F,"domingo, novembro 14, 2004",dom,nov,24,36657
67F,"segunda-feira, novembro 15, 2004",seg,nov,25,37263
62F,"terça-feira, novembro 16, 2004",ter,nov,22,35436
64F,"quarta-feira, novembro 17, 2004",qua,nov,23,36043
64F,"quinta-feira, novembro 18, 2004",qui,nov,23,36042
63F,"sexta-feira, novembro 19, 2004",sex,nov,23,36042
66F,"sábado, novembro 20, 2004",sab,nov,24,36651
69F,"domingo, novembro 21, 2004",dom,nov,26,37868
65F,"segunda-feira, novembro 22, 2004",seg,nov,24,36650
62F,"terça-feira, novembro 23, 2004",ter,nov,22,35432
62F,"quarta-feira, novembro 24, 2004",qua,nov,22,35431
66F,"quinta-feira, novembro 25, 2004",qui,nov,24,36649
64F,"sexta-feira, novembro 26, 2004",sex,nov,23,36037
67F,"sábado, novembro 27, 2004",sab,nov,25,37255
65F,"domingo, novembro 28, 2004",dom,nov,24,36645
66F,"segunda-feira, novembro 29, 2004",seg,nov,24,36644
63F,"terça-feira, novembro 30, 2004",ter,nov,23,36033
65F,"quarta-feira, dezembro 01, 2004",qua,dez,24,36637
66F,"quinta-feira, dezembro 02, 2004",qui,dez,24,36634
64F,"sexta-feira, dezembro 03, 2004",sex,dez,23,36025
66F,"sábado, dezembro 04, 2004",sab,dez,24,36634
64F,"domingo, dezembro 05, 2004",dom,dez,23,36023
67F,"segunda-feira, dezembro 06, 2004",seg,dez,25,37238
68F,"terça-feira, dezembro 07, 2004",ter,dez,25,37237
63F,"quarta-feira, dezembro 08, 2004",qua,dez,23,36019
63F,"quinta-feira, dezembro 09, 2004",qui,dez,23,36019
67F,"sexta-feira, dezembro 10, 2004",sex,dez,25,37235
65F,"sábado, dezembro 11, 2004",sab,dez,24,36622
65F,"domingo, dezembro 12, 2004",dom,dez,24,36620
62F,"segunda-feira, dezembro 13, 2004",seg,dez,22,35401
66F,"terça-feira, dezembro 14, 2004",ter,dez,24,36618
67F,"quarta-feira, dezembro 15, 2004",qua,dez,25,37226
63F,"quinta-feira, dezembro 16, 2004",qui,dez,23,36003
62F,"sexta-feira, dezembro 17, 2004",sex,dez,22,35394
60F,"sábado, dezembro 18, 2004",sab,dez,21,34783
64F,"domingo, dezembro 19, 2004",dom,dez,23,36000
63F,"segunda-feira, dezembro 20, 2004",seg,dez,23,35999
67F,"terça-feira, dezembro 21, 2004",ter,dez,25,37210
66F,"quarta-feira, dezembro 22, 2004",qua,dez,25,37210
63F,"quinta-feira, dezembro 23, 2004",qui,dez,23,35991
66F,"sexta-feira, dezembro 24, 2004",sex,dez,25,37209
65F,"sábado, dezembro 25, 2004",sab,dez,24,36600
67F,"domingo, dezembro 26, 2004",dom,dez,25,37206
68F,"segunda-feira, dezembro 27, 2004",seg,dez,25,37205
63F,"terça-feira, dezembro 28, 2004",ter,dez,23,35985
64F,"quarta-feira, dezembro 29, 2004",qua,dez,23,35983
61F,"quinta-feira, dezembro 30, 2004",qui,dez,22,35372
66F,"sexta-feira, dezembro 31, 2004",sex,dez,24,36587
66F,"sábado, janeiro 01, 2005",sab,jan,25,37194
61F,"domingo, janeiro 02, 2005",dom,jan,22,35366
63F,"segunda-feira, janeiro 03, 2005",seg,jan,23,35973
62F,"terça-feira, janeiro 04, 2005",ter,jan,22,35361
63F,"quarta-feira, janeiro 05, 2005",qua,jan,23,35967
66F,"quinta-feira, janeiro 06, 2005",qui,jan,25,37185
64F,"sexta-feira, janeiro 07, 2005",sex,jan,23,35966
67F,"sábado, janeiro 08, 2005",sab,jan,25,37179
67F,"domingo, janeiro 09, 2005",dom,jan,25,37175
68F,"segunda-feira, janeiro 10, 2005",seg,jan,25,37164
63F,"terça-feira, janeiro 11, 2005",ter,jan,23,35945
67F,"quarta-feira, janeiro 12, 2005",qua,jan,25,37160
65F,"quinta-feira, janeiro 13, 2005",qui,jan,24,36551
62F,"sexta-feira, janeiro 14, 2005",sex,jan,22,35332
62F,"sábado, janeiro 15, 2005",sab,jan,22,35324
69F,"domingo, janeiro 16, 2005",dom,jan,26,37758
64F,"segunda-feira, janeiro 17, 2005",seg,jan,23,35930
66F,"terça-feira, janeiro 18, 2005",ter,jan,25,37138
66F,"quarta-feira, janeiro 19, 2005",qua,jan,24,36517
50F,"quinta-feira, janeiro 20, 2005",qui,jan,15,31005
50F,"sexta-feira, janeiro 21, 2005",sex,jan,15,30996
45F,"sábado, janeiro 22, 2005",sab,jan,13,29773
48F,"domingo, janeiro 23, 2005",dom,jan,15,30989
50F,"segunda-feira, janeiro 24, 2005",seg,jan,15,30975
49F,"terça-feira, janeiro 25, 2005",ter,jan,15,30948
50F,"quarta-feira, janeiro 26, 2005",qua,jan,16,31554
49F,"quinta-feira, janeiro 27, 2005",qui,jan,15,30944
49F,"sexta-feira, janeiro 28, 2005",sex,jan,15,30939
49F,"sábado, janeiro 29, 2005",sab,jan,15,30937
48F,"domingo, janeiro 30, 2005",dom,jan,14,30319
48F,"segunda-feira, janeiro 31, 2005",seg,jan,14,30315
47F,"terça-feira, fevereiro 01, 2005",ter,fev,14,30313
45F,"quarta-feira, fevereiro 02, 2005",qua,fev,13,29699
48F,"quinta-feira, fevereiro 03, 2005",qui,fev,14,30308
47F,"sexta-feira, fevereiro 04, 2005",sex,fev,14,30298
47F,"sábado, fevereiro 05, 2005",sab,fev,14,30296
48F,"domingo, fevereiro 06, 2005",dom,fev,14,30294
46F,"segunda-feira, fevereiro 07, 2005",seg,fev,13,29680
48F,"terça-feira, fevereiro 08, 2005",ter,fev,15,30898
46F,"quarta-feira, fevereiro 09, 2005",qua,fev,14,30286
48F,"quinta-feira, fevereiro 10, 2005",qui,fev,15,30894
46F,"sexta-feira, fevereiro 11, 2005",sex,fev,13,29675
47F,"sábado, fevereiro 12, 2005",sab,fev,14,30281
51F,"domingo, fevereiro 13, 2005",dom,fev,16,31496
47F,"segunda-feira, fevereiro 14, 2005",seg,fev,14,30271
47F,"terça-feira, fevereiro 15, 2005",ter,fev,14,30271
46F,"quarta-feira, fevereiro 16, 2005",qua,fev,13,29661
48F,"quinta-feira, fevereiro 17, 2005",qui,fev,15,30877
50F,"sexta-feira, fevereiro 18, 2005",sex,fev,16,31485
46F,"sábado, fevereiro 19, 2005",sab,fev,13,29654
50F,"domingo, fevereiro 20, 2005",dom,fev,15,30871
49F,"segunda-feira, fevereiro 21, 2005",seg,fev,15,30869
50F,"terça-feira, fevereiro 22, 2005",ter,fev,15,30868
47F,"quarta-feira, fevereiro 23, 2005",qua,fev,14,30257
46F,"quinta-feira, fevereiro 24, 2005",qui,fev,13,29645
49F,"sexta-feira, fevereiro 25, 2005",sex,fev,15,30861
48F,"sábado, fevereiro 26, 2005",sab,fev,14,30249
51F,"domingo, fevereiro 27, 2005",dom,fev,16,31466
49F,"segunda-feira, fevereiro 28, 2005",seg,fev,15,30856
47F,"terça-feira, março 01, 2005",ter,mar,14,30243
50F,"quarta-feira, março 02, 2005",qua,mar,15,30852
49F,"quinta-feira, março 03, 2005",qui,mar,15,30852
45F,"sexta-feira, março 04, 2005",sex,mar,13,29632
47F,"sábado, março 05, 2005",sab,mar,14,30241
49F,"domingo, março 06, 2005",dom,mar,15,30844
49F,"segunda-feira, março 07, 2005",seg,mar,15,30843
46F,"terça-feira, março 08, 2005",ter,mar,13,29623
51F,"quarta-feira, março 09, 2005",qua,mar,16,31450
49F,"quinta-feira, março 10, 2005",qui,mar,15,30840
48F,"sexta-feira, março 11, 2005",sex,mar,15,30835
47F,"sábado, março 12, 2005",sab,mar,14,30225
49F,"domingo, março 13, 2005",dom,mar,15,30834
47F,"segunda-feira, março 14, 2005",seg,mar,14,30225
46F,"terça-feira, março 15, 2005",ter,mar,14,30223
57F,"quarta-feira, março 16, 2005",qua,mar,19,33265
44F,"quinta-feira, março 17, 2005",qui,mar,12,29002
45F,"sexta-feira, março 18, 2005",sex,mar,13,29611
50F,"sábado, março 19, 2005",sab,mar,15,30828
48F,"domingo, março 20, 2005",dom,mar,14,30216
51F,"segunda-feira, março 21, 2005",seg,mar,16,31429
62F,"terça-feira, março 22, 2005",ter,mar,22,35083
51F,"quarta-feira, março 23, 2005",qua,mar,16,31427
62F,"quinta-feira, março 24, 2005",qui,mar,22,35079
47F,"sexta-feira, março 25, 2005",sex,mar,14,30206
47F,"sábado, março 26, 2005",sab,mar,14,30203
48F,"domingo, março 27, 2005",dom,mar,14,30203
45F,"segunda-feira, março 28, 2005",seg,mar,13,29594
46F,"terça-feira, março 29, 2005",ter,mar,14,30201
51F,"quarta-feira, março 30, 2005",qua,mar,16,31419
48F,"quinta-feira, março 31, 2005",qui,mar,14,30199
48F,"sexta-feira, abril 01, 2005",sex,abr,14,30198
48F,"sábado, abril 02, 2005",sab,abr,14,30197
50F,"domingo, abril 03, 2005",dom,abr,15,30804
50F,"segunda-feira, abril 04, 2005",seg,abr,16,31413
49F,"terça-feira, abril 05, 2005",ter,abr,15,30801
48F,"quarta-feira, abril 06, 2005",qua,abr,14,30192
46F,"quinta-feira, abril 07, 2005",qui,abr,13,29582
47F,"sexta-feira, abril 08, 2005",sex,abr,14,30191
51F,"sábado, abril 09, 2005",sab,abr,16,31408
62F,"domingo, abril 10, 2005",dom,abr,22,35059
60F,"segunda-feira, abril 11, 2005",seg,abr,21,34448
49F,"terça-feira, abril 12, 2005",ter,abr,15,30793
50F,"quarta-feira, abril 13, 2005",qua,abr,15,30793
44F,"quinta-feira, abril 14, 2005",qui,abr,12,28965
49F,"sexta-feira, abril 15, 2005",sex,abr,15,30791
48F,"sábado, abril 16, 2005",sab,abr,14,30182
50F,"domingo, abril 17, 2005",dom,abr,16,31399
57F,"segunda-feira, abril 18, 2005",seg,abr,19,33224
51F,"terça-feira, abril 19, 2005",ter,abr,16,31396
63F,"quarta-feira, abril 20, 2005",qua,abr,23,35656
48F,"quinta-feira, abril 21, 2005",qui,abr,15,30784
45F,"sexta-feira, abril 22, 2005",sex,abr,13,29565
62F,"sábado, abril 23, 2005",sab,abr,22,35044
50F,"domingo, abril 24, 2005",dom,abr,15,30780
48F,"segunda-feira, abril 25, 2005",seg,abr,14,30170
51F,"terça-feira, abril 26, 2005",ter,abr,16,31388
48F,"quarta-feira, abril 27, 2005",qua,abr,14,30169
50F,"quinta-feira, abril 28, 2005",qui,abr,15,30777
62F,"sexta-feira, abril 29, 2005",sex,abr,22,35039
46F,"sábado, abril 30, 2005",sab,abr,13,29556
47F,"domingo, maio 01, 2005",dom,mai,14,30165
47F,"segunda-feira, maio 02, 2005",seg,mai,14,30165
43F,"terça-feira, maio 03, 2005",ter,mai,12,28946
46F,"quarta-feira, maio 04, 2005",qua,mai,13,29555
48F,"quinta-feira, maio 05, 2005",qui,mai,15,30770
46F,"sexta-feira, maio 06, 2005",sex,mai,13,29551
48F,"sábado, maio 07, 2005",sab,mai,15,30769
62F,"domingo, maio 08, 2005",dom,mai,22,35031
51F,"segunda-feira, maio 09, 2005",seg,mai,16,31376
47F,"terça-feira, maio 10, 2005",ter,mai,14,30150
49F,"quarta-feira, maio 11, 2005",qua,mai,15,30759
61F,"quinta-feira, maio 12, 2005",qui,mai,22,35022
48F,"sexta-feira, maio 13, 2005",sex,mai,14,30147
49F,"sábado, maio 14, 2005",sab,mai,15,30756
47F,"domingo, maio 15, 2005",dom,mai,14,30143
49F,"segunda-feira, maio 16, 2005",seg,mai,15,30751
50F,"terça-feira, maio 17, 2005",ter,mai,15,30751
59F,"quarta-feira, maio 18, 2005",qua,mai,21,34403
60F,"quinta-feira, maio 19, 2005",qui,mai,21,34403
44F,"sexta-feira, maio 20, 2005",sex,mai,12,28918
49F,"sábado, maio 21, 2005",sab,mai,15,30745
61F,"domingo, maio 22, 2005",dom,mai,21,34397
60F,"segunda-feira, maio 23, 2005",seg,mai,21,34396
50F,"terça-feira, maio 24, 2005",ter,mai,15,30741
48F,"quarta-feira, maio 25, 2005",qua,mai,14,30130
50F,"quinta-feira, maio 26, 2005",qui,mai,16,31347
49F,"sexta-feira, maio 27, 2005",sex,mai,15,30737
60F,"sábado, maio 28, 2005",sab,mai,21,34391
63F,"domingo, maio 29, 2005",dom,mai,22,34999
59F,"segunda-feira, maio 30, 2005",seg,mai,20,33778
46F,"terça-feira, maio 31, 2005",ter,mai,13,29515
